n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
116,P14,Association pour L'Education Des Enfants Défavorisés,,,Maurice,,2025,"Autonomisation économique et social des femmes vulnérables (filles, mères célibataires, femmes avec un handicap) à travers la fabrication des assiettes a base des feuilles du palmier Areca et autres (d'areca, palmiste et autre)",,99000,,
117,P14,Organisation Non Gouvernementale Jeunesse et Emplois Verts pour une Economie Verte,,,Bénin,,2025,Gbewa : aquaculture continentale pour l'autonomisation des femmes de l'ile d'Agonve,,73244,,
118,P14,Solidarité Protestante France-Arménie,,,Arménie,,2025,Formations professionnelles pour l'avenir des Femmes,,59500,,
119,P14,Fondation Akoun pour le Développement Global,,,Egypte,,2025,La femme travaille,,57500,,
120,P14,Association pour l'Epanouissement de la Jeune Femme,,,Cameroun,,2025,Femme - Manioc Impact,,30000,,
121,P14,Savana Signatures,,,Ghana,,2025,Initiative pour le Renforcement des Moyens de Subsistance et de la Protection Sociale des Femmes Vulnérables,,96000,,
122,P14,Action Durable pour les Ressources naturelles Africaines,,,République démocratique du Congo,,2025,Projet Agro-Sol : Agroécologie pour l'autonomisation économique des filles mères et mères célibataires,,27472,,
123,P14,Hope Sahel,,,Niger,,2025,"Réinventer le déchet textile, Autonomiser les femmes, Préserver la planète",,91075,,
124,P14,Association pour la Promotion des Droits des Jeunes,,,Burkina Faso,,2025,Soutenir l’émergence et la valorisation de l’économie féminine locale pour plus d’audibilité de sa voix et plus d’indépendance et d’inclusion à Ouissiga au Burkina Faso,,86812,,
125,P14,Centre de ressources et des compétences pour le développement communautaire,,,Congo,,2025,"Autonomisation économique et réinsertion sociale des jeunes filles-mères et d’autres femmes en situation de précarité par la transformation, la valorisation et la commercialisation des produits issus de l’agriculture et de l’élevage durables dans la commune rurale de Kintélé et ses environs, République du Congo",,76000,,
126,P14,Association Mouhbani,,,Djibouti,,2025,Autonomisation des femmes pêcheuses et des jeunes filles des villages côtiers de Tadjourah pour une économie bleue durable,,78000,,
127,P14,Women Success,,,Tchad,,2025,"DIAN KOUM KÖ : Femmes autonomes, communautés fortes",,57600,,
128,P14,ONG Femme Enfance Environnement,,,Sénégal,,2025,Projet d’appui à la résilience économique des femmes défavorisées des régions de Fatick et Diourbel à travers la transformation agro-sylvo-pastorale,,100000,,
129,P14,Association de Coopération et de Recherche pour le Développement au Burundi,,,Burundi,,2025,Renforcement de la résilience des femmes face aux changements climatiques au Burundi,,100000,,
130,P14,Association Pour la Promotion et le Développement de l'Entrepreneuriat Jeunesse,,,Guinée,,2025,Renforcement de l'Autonomisation des Filles/Femmes de Bambaya en Maraichage et en Pisciculture,,97398,,
131,P14,ONG Cabralistes,,,Cabo Verde,,2025,FEM - Femmes en mouvement,,35000,,
132,P14,Aide pour le Développement Durable,,,Madagascar,,2025,"Appui au développement des activités de femmes agricultrices vulnérables dans deux communes rurales de Manandona et Vinaninkarena, région Vakinankaratra",,28538,,
133,P14,COOPLUS,,,Maroc,,2025,"Coondaba Coop : La force de la coopération, la richesse de la diversité",,76000,,
134,P14,Fondation Fonds de dons communautaires Sliven,,,Bulgarie,,2025,Confiante et réussie – perspectives professionnelles pour les femmes vulnérables à SLIVEN,,59084,,
